input,output,source,category
What was the significance of Section 42(c) of the Partnership Act in the case Davesh Nagalya (D) & Ors. vs. Pradeep Kumar (D) Thr. LRs. and Ors.?,"Section 42(c) of the Partnership Act states that a partnership is dissolved by the death of a partner. The appellants argued that the partnership between Pradeep Kumar and Subhash Chand dissolved upon the death of Pradeep Kumar, and thus the tenancy should be deemed vacant.",IndicLegalQA,case_qa
What was the final decision of the Supreme Court in the case Davesh Nagalya (D) & Ors. vs. Pradeep Kumar (D) Thr. LRs. and Ors.?,"The Supreme Court set aside the High Court's order, deemed the tenancy to have ended with the death of the partners, and ruled that the non-residential tenanted premises is deemed to be vacant. The appellants were allowed to proceed with remedies available under the law.",IndicLegalQA,case_qa
What was the role of the District Magistrate in the partnership agreement between Pradeep Kumar and Subhash Chand in the case Davesh Nagalya (D) & Ors. vs. Pradeep Kumar (D) Thr. LRs. and Ors.?,"The District Magistrate had permitted Subhash Chand to be inducted as a partner with Pradeep Kumar on 15th November 1982, which led to the signing of the partnership deed on 19th November 1982.",IndicLegalQA,case_qa
What was the main dispute in the case Selvi vs. Gopalakrishnan Nair (D) Thr. LRs. and Ors.?,"The main dispute was regarding the ownership and partition of the suit properties, particularly whether Survey No.988 was part of the properties to be partitioned.",IndicLegalQA,case_qa
What was the decision of the trial court regarding the partition of the suit properties in the case Selvi vs. Gopalakrishnan Nair (D) Thr. LRs. and Ors.?,"The trial court passed a preliminary decree for partition, holding that the plaintiffs were entitled to redeem and recover possession of 7.40 acres from the defendants by depositing the mortgage money.",IndicLegalQA,case_qa
Why did the High Court of Madras at Madurai Bench set aside the final decree passed by the trial court in the case Selvi vs. Gopalakrishnan Nair (D) Thr. LRs. and Ors.?,"The High Court set aside the final decree because it held that the appellant/plaintiff could not lay a claim to Survey No.988, which the first respondent/second defendant claimed belonged to him.",IndicLegalQA,case_qa
"What were the objections raised by the second defendant, Gopalakrishnan Nair, regarding Survey No.988 in the case Selvi vs. Gopalakrishnan Nair (D) Thr. LRs. and Ors.?",Gopalakrishnan Nair consistently objected that Survey No.988 belonged to him and should be excluded from the properties to be partitioned. He also raised concerns about the boundaries and description of the suit properties.,IndicLegalQA,case_qa
What did the Supreme Court decide regarding the dispute over Survey No.988 in the case Selvi vs. Gopalakrishnan Nair (D) Thr. LRs. and Ors.?,"The Supreme Court set aside the judgments of the High Court and lower courts, and remitted the matter back to the trial court to decide afresh, allowing the parties to adduce evidence regarding the correct description of the suit property and the rights claimed by the second defendant in Survey No.988.",IndicLegalQA,case_qa
What directions did the Supreme Court give to the trial court for further proceedings in the case Selvi vs. Gopalakrishnan Nair (D) Thr. LRs. and Ors.?,"The Supreme Court directed the trial court to allow the parties to adduce evidence, ascertain the correct survey numbers falling within the description of the suit properties, and determine the entitlement of the second defendant to Survey No.988.",IndicLegalQA,case_qa
"Why did the Supreme Court dismiss the objections raised by the second plaintiff, Vasudevan Pillai, regarding the final decree application in the case Selvi vs. Gopalakrishnan Nair (D) Thr. LRs. and Ors.?","The Supreme Court dismissed Vasudevan Pillai's objections as an afterthought and upheld that third plaintiff Selvi had the right to pursue the final decree application, stating that Vasudevan Pillai's claims of forgery were not credible.",IndicLegalQA,case_qa
What was the primary issue in the case Shakti Bhog Food Industries Ltd. vs. The Central Bank of India & Anr.?,The primary issue was whether the suit filed by Shakti Bhog Food Industries Ltd. for rendition of accounts and recovery of excess amounts charged by the Central Bank of India was barred by the law of limitation.,IndicLegalQA,case_qa
What was the decision of the trial court regarding the suit filed by Shakti Bhog Food Industries Ltd. in the case Shakti Bhog Food Industries Ltd. vs. The Central Bank of India & Anr.?,"The trial court rejected the plaint under Order VII Rule 11(d) of the CPC, stating that the suit was barred by the law of limitation as it was filed beyond the prescribed period of three years from the date when the right to sue accrued.",IndicLegalQA,case_qa
On what grounds did the High Court of Delhi affirm the decision to reject the plaint in the case Shakti Bhog Food Industries Ltd. vs. The Central Bank of India & Anr.?,"The High Court of Delhi affirmed the decision to reject the plaint on the grounds that the suit was filed beyond the limitation period specified under Article 113 of the Limitation Act, 1963, which is three years from the date when the right to sue accrued.",IndicLegalQA,case_qa
What was the contention of Shakti Bhog Food Industries Ltd. regarding the accrual of the cause of action in the case against The Central Bank of India?,"Shakti Bhog Food Industries Ltd. contended that the cause of action accrued only upon the rejection of their representation by the Central Bank of India, which was communicated through letters dated 19th September 2002 and 3rd June 2003, and after the final legal notice was served on 7th January 2005.",IndicLegalQA,case_qa
How did the Supreme Court of India rule on the appeal in the case Shakti Bhog Food Industries Ltd. vs. The Central Bank of India & Anr.?,"The Supreme Court of India set aside the judgments of the lower courts and the High Court, holding that the suit was within the limitation period based on the facts and circumstances of the case, and remitted the matter back for further proceedings.",IndicLegalQA,case_qa
What legal principle did the Supreme Court highlight regarding the interpretation of the limitation period in the case Shakti Bhog Food Industries Ltd. vs. The Central Bank of India & Anr.?,"The Supreme Court highlighted that the expression 'when the right to sue accrues' under Article 113 of the Limitation Act, 1963, must be understood in the context of the specific facts and circumstances, indicating that the right to sue may accrue at different points of time based on the nature of the dispute and communications between the parties.",IndicLegalQA,case_qa
What was the main issue in the case Union of India vs. Board of Control for Cricket in India & Ors.?,"The main issue was whether the live broadcast signals of cricket matches shared by BCCI with Prasar Bharati should be retransmitted by cable operators, and whether this arrangement was legal under Section 3 of the Sports Broadcasting Signals (Mandatory Sharing with Prasar Bharati) Act, 2007 and Section 8 of the Cable Television Networks (Regulation) Act, 1995.",IndicLegalQA,case_qa
What did the High Court of Delhi rule regarding the sharing of live broadcasting signals in the case Union of India vs. Board of Control for Cricket in India & Ors.?,"The High Court of Delhi ruled that the signals received by Prasar Bharati from BCCI should not be retransmitted by cable operators and that this retransmission was not covered under Section 8 of the Cable Act, 1995.",IndicLegalQA,case_qa
What was the Union of India's argument regarding the retransmission of live signals in the case Union of India vs. Board of Control for Cricket in India & Ors.?,"The Union of India argued that the retransmission of live signals by cable operators was necessary to provide access to the largest number of viewers, especially those in remote areas, and that this was in line with the objectives of the Prasar Bharati Act, 1990 and the Sports Act, 2007.",IndicLegalQA,case_qa
What did the Supreme Court of India decide regarding the live broadcast signals shared by BCCI with Prasar Bharati in the case Union of India vs. Board of Control for Cricket in India & Ors.?,The Supreme Court of India upheld the High Court's decision and ruled that the live broadcast signals shared by BCCI with Prasar Bharati should not be retransmitted by cable operators. The court emphasized that the signals were meant for Prasar Bharati's terrestrial and DTH networks only.,IndicLegalQA,case_qa
"How did the Supreme Court interpret Section 3 of the Sports Broadcasting Signals (Mandatory Sharing with Prasar Bharati) Act, 2007 in the case Union of India vs. Board of Control for Cricket in India & Ors.?","The Supreme Court interpreted Section 3 of the Sports Act, 2007 as mandating that the live broadcast signals shared with Prasar Bharati should be retransmitted only on Prasar Bharati's terrestrial and DTH networks, and not through cable operators.",IndicLegalQA,case_qa
What was the stance of the Board of Control for Cricket in India (BCCI) regarding the retransmission of live signals by cable operators in the case Union of India vs. Board of Control for Cricket in India & Ors.?,"BCCI argued that retransmitting the live signals through cable operators without proper authorization infringed on their broadcasting rights and revenue, as these signals were exclusively licensed to specific broadcasters under the Media Rights Agreement.",IndicLegalQA,case_qa
What did the Supreme Court say about the balance between public access to sports and the rights of content owners in the case Union of India vs. Board of Control for Cricket in India & Ors.?,"The Supreme Court acknowledged the need to balance public access to sports events with the rights of content owners, but ultimately ruled that the statutory mandate under the Sports Act, 2007 should be strictly interpreted to limit retransmission to Prasar Bharati's networks.",IndicLegalQA,case_qa
What was the primary issue in the case Anu Bhandari vs. Pradip Bhandari?,"The primary issue was the settlement of all disputes and litigations between Anu Bhandari and Pradip Bhandari, including the dissolution of their marriage by mutual consent.",IndicLegalQA,case_qa
How many cases were pending between Anu Bhandari and Pradip Bhandari before the settlement?,"There were twenty-three cases pending before various courts, including Trial Courts, the High Court, the Supreme Court, and the Consumer Forum.",IndicLegalQA,case_qa
Who facilitated the mediation efforts in the case Anu Bhandari vs. Pradip Bhandari?,"The mediation efforts were facilitated by Hon'ble Mrs. Justice Lisa Gill, Judge of the High Court of Punjab and Haryana, and Ms. Meenakshi Arora, learned Senior Counsel, appointed by the Supreme Court as a Mediator.",IndicLegalQA,case_qa
What was the outcome of the mediation efforts in the case Anu Bhandari vs. Pradip Bhandari?,"The mediation efforts led to an amicable settlement between the parties, resulting in the resolution of all their disputes and the filing of a mutual consent divorce petition.",IndicLegalQA,case_qa
What did the Supreme Court decide regarding the pending litigations between Anu Bhandari and Pradip Bhandari?,"The Supreme Court quashed several pending cases and dismissed others in terms of the settlement, effectively ending all civil and criminal litigations between the parties.",IndicLegalQA,case_qa
What property arrangement was made as part of the settlement in the case Anu Bhandari vs. Pradip Bhandari?,"Mr. Pradip Bhandari was directed to transfer his share in agricultural land situated in Village Golpura, Tehsil and District Panchkula to Ms. Anu Bhandari, their daughter Bhuvi Bhandari, and their son Vibhu Bhandari.",IndicLegalQA,case_qa
How did the Supreme Court address the future litigation between Anu Bhandari and Pradip Bhandari?,The Supreme Court restrained both parties from instituting any fresh litigation in respect of the subject matter without the Court's leave.,IndicLegalQA,case_qa
What role did the Supreme Court play in facilitating the settlement in the case Anu Bhandari vs. Pradip Bhandari?,"The Supreme Court actively facilitated the settlement through mediation and directed the parties to appear before it, leading to the resolution of disputes and the grant of mutual consent divorce.",IndicLegalQA,case_qa
What was the primary legal issue in the case Akhilesh Singh @ Akhileshwar Singh vs. Lal Babu Singh & Ors.?,"The primary legal issue was whether the High Court erred in allowing additional evidence in the First Appeal without giving the appellant an opportunity to rebut or explain the additional evidence, which led to the setting aside of the trial court's decree in a partition suit.",IndicLegalQA,case_qa
What was the decision of the trial court in the partition suit filed by Sheo Prasad Singh and his sons?,"The trial court decreed the partition suit, declaring that the plaintiffs were entitled to a 1/4th share in the joint family properties described in Schedule B, C, and D of the plaint.",IndicLegalQA,case_qa
Why did the High Court set aside the trial court's judgment in the case Akhilesh Singh @ Akhileshwar Singh vs. Lal Babu Singh & Ors.?,"The High Court set aside the trial court's judgment after accepting additional evidence, which included sale deeds indicating that a partition had already occurred in the family. The High Court ruled that there was no unity of title and possession between the parties based on this evidence.",IndicLegalQA,case_qa
What was the Supreme Court's ruling regarding the High Court's acceptance of additional evidence in the case Akhilesh Singh @ Akhileshwar Singh vs. Lal Babu Singh & Ors.?,The Supreme Court ruled that the High Court should have given the appellant an opportunity to rebut the additional evidence or explain the alleged admissions in the sale deeds. The Supreme Court set aside the High Court's judgment and remanded the case for fresh consideration.,IndicLegalQA,case_qa
What instructions did the Supreme Court give to the High Court for reconsidering the First Appeal in the case Akhilesh Singh @ Akhileshwar Singh vs. Lal Babu Singh & Ors.?,"The Supreme Court instructed the High Court to decide the First Appeal afresh, giving the appellant an opportunity to lead evidence in rebuttal or explain the alleged admissions in the additional evidence. The Supreme Court expected the High Court to conclude the process expeditiously within six months.",IndicLegalQA,case_qa
What procedural error did the High Court commit according to the Supreme Court in the case Akhilesh Singh @ Akhileshwar Singh vs. Lal Babu Singh & Ors.?,"The procedural error committed by the High Court was that it admitted additional evidence and proceeded to decide the appeal without giving the appellant an opportunity to rebut the additional evidence or explain the alleged admissions, thereby violating the principles of natural justice.",IndicLegalQA,case_qa
How did the Supreme Court address the timing of the High Court's decision on additional evidence in the case Akhilesh Singh @ Akhileshwar Singh vs. Lal Babu Singh & Ors.?,"The Supreme Court noted that the High Court simultaneously admitted additional evidence and decided the First Appeal on the same day, without providing the appellant an opportunity to respond to the new evidence, which was a procedural irregularity.",IndicLegalQA,case_qa
What was the main legal issue in the case Vikash Kumar vs. Union Public Service Commission & Ors.?,"The main legal issue was whether Vikash Kumar, who suffers from Writer's Cramp, was entitled to the assistance of a scribe during the Civil Services Examination under the Rights of Persons with Disabilities Act, 2016.",IndicLegalQA,case_qa
Why did Vikash Kumar request a scribe for the Civil Services Examination?,"Vikash Kumar requested a scribe because he suffers from Writer's Cramp, a neurological condition that severely affects his ability to write.",IndicLegalQA,case_qa
How did the Union Public Service Commission (UPSC) respond to Vikash Kumar's request for a scribe?,"The UPSC rejected Vikash Kumar's request for a scribe on the grounds that he did not meet the criteria of having a benchmark disability as defined under the Rights of Persons with Disabilities Act, 2016.",IndicLegalQA,case_qa
What was the Supreme Court's view on the interpretation of 'benchmark disability' in the context of providing a scribe?,"The Supreme Court held that the provision of a scribe should not be limited to candidates with benchmark disabilities and emphasized that reasonable accommodation must be made for all persons with disabilities, including those with specific disabilities like Writer's Cramp.",IndicLegalQA,case_qa
"What did the Supreme Court say about the obligation of examining bodies under the Rights of Persons with Disabilities Act, 2016?","The Supreme Court stated that examining bodies have an obligation to provide reasonable accommodations, such as the assistance of a scribe, to candidates with disabilities to ensure their full and effective participation in examinations.",IndicLegalQA,case_qa
What directive did the Supreme Court give to the UPSC regarding Vikash Kumar's case?,"The Supreme Court directed the UPSC to reconsider Vikash Kumar's request for a scribe in light of the broader interpretation of the Rights of Persons with Disabilities Act, 2016, and to make necessary accommodations for his disability.",IndicLegalQA,case_qa
What was the broader implication of the Supreme Court's judgment in Vikash Kumar's case?,"The broader implication of the judgment was the affirmation of the rights of persons with disabilities to reasonable accommodations in competitive examinations, reinforcing the principle of non-discrimination and equal opportunity.",IndicLegalQA,case_qa
What was the primary legal issue in the case Apollo Institute of Medical Sciences & Research vs. Union of India & Anr.?,The primary legal issue was whether the Central Government's decision to debar the petitioner's medical college from admitting students for two years and to encash the bank guarantee was justified.,IndicLegalQA,case_qa
Why did the Central Government debar Apollo Institute of Medical Sciences & Research from admitting students for two years?,"The Central Government debared the college based on a negative recommendation from the Medical Council of India (MCI), citing deficiencies in faculty and resident doctors during inspections.",IndicLegalQA,case_qa
What role did the Oversight Committee (OC) play in the case Apollo Institute of Medical Sciences & Research vs. Union of India & Anr.?,"The OC, constituted under the Supreme Court's directions, reviewed the compliance submitted by the college and initially approved the scheme for the academic session 2016-17, but later noted deficiencies in subsequent inspections.",IndicLegalQA,case_qa
What was the Supreme Court's view on the deficiencies noted by the Medical Council of India in the case Apollo Institute of Medical Sciences & Research vs. Union of India & Anr.?,The Supreme Court observed that the deficiencies noted by MCI were marginal and that the Central Government's decision to debar the college for two years was excessive. The court emphasized the need for proportionality in administrative decisions.,IndicLegalQA,case_qa
How did the Supreme Court rule on the issue of admitting students for the academic session 2017-18 in the case Apollo Institute of Medical Sciences & Research vs. Union of India & Anr.?,"The Supreme Court set aside the Central Government's decision to debar the college from admitting students for two years and allowed the college to admit students for the academic session 2017-18, subject to fulfilling conditions imposed by the Oversight Committee.",IndicLegalQA,case_qa
What directive did the Supreme Court give regarding future inspections of Apollo Institute of Medical Sciences & Research?,"The Supreme Court allowed the Medical Council of India or the Competent Authority of the Central Government to inspect the college as deemed fit and to take appropriate action if any deficiencies were found in the future, after giving the college an opportunity to address them.",IndicLegalQA,case_qa
What was the Supreme Court's final decision in the case Apollo Institute of Medical Sciences & Research vs. Union of India & Anr.?,"The Supreme Court quashed the decision to debar the college from admitting students and extended the cut-off date for admissions to 5th September 2017, allowing the college to participate in the ongoing counselling process for the academic session 2017-18.",IndicLegalQA,case_qa
What was the main issue in the case Tehseen Poonawalla vs. Union of India & Anr.?,"The main issue was whether the remarks made against Ms. Indira Jaising in the judgment dated 19th April 2018, indicating that her conduct amounted to contempt or prima facie contempt of court, should be expunged.",IndicLegalQA,case_qa
What relief did Ms. Indira Jaising seek in her Miscellaneous Application?,Ms. Indira Jaising sought an order to expunge or delete the remarks made against her that indicated her conduct amounted to contempt or prima facie contempt of court.,IndicLegalQA,case_qa
What was the Supreme Court's response to Ms. Indira Jaising's request to expunge the remarks made against her?,The Supreme Court observed that the remarks were made in the context of the conduct of the petitioners and intervenors collectively and were based on the arguments presented during the hearing. The court did not find a basis to expunge the remarks specifically against Ms. Jaising.,IndicLegalQA,case_qa
What argument did Dr. Abhishek Manu Singhvi present on behalf of Ms. Indira Jaising?,Dr. Abhishek Manu Singhvi argued that Ms. Indira Jaising did not intend to make any submissions that would denigrate or scandalize the judiciary and that the remarks made against her were not justified.,IndicLegalQA,case_qa
What was Mr. Mukul Rohatgi's stance regarding Ms. Indira Jaising's submissions in the case?,"Mr. Mukul Rohatgi, representing the State of Maharashtra, opposed the application and argued that the submissions attributed to Ms. Jaising were indeed made by her during the proceedings, and the remarks in the judgment were based on those submissions.",IndicLegalQA,case_qa
What did the Supreme Court say about the inclusion of prayer clause (c) in Ms. Indira Jaising's Miscellaneous Application?,"The Supreme Court noted that prayer clause (c), which sought records from the High Court of Bombay regarding the transfer of Judge Utpat, was indicative of an attempt to revive the controversy settled by the earlier judgment. Dr. Singhvi later submitted that this prayer was being given up.",IndicLegalQA,case_qa
What was the Supreme Court's final decision regarding the Miscellaneous Application filed by Ms. Indira Jaising?,"The Supreme Court disposed of the Miscellaneous Application, maintaining the remarks made in the judgment and stating that they pertained to the collective conduct of the petitioners and intervenors, including Ms. Jaising.",IndicLegalQA,case_qa
"What was the primary legal issue in the case M/s. Saraf Exports vs. Commissioner of Income Tax, Jaipur-III?","The primary legal issue was whether M/s. Saraf Exports was entitled to deductions under Section 80-IB of the Income Tax Act, 1961 for profits earned from Duty Drawback and DEPB (Duty Entitlement Pass Book) schemes.",IndicLegalQA,case_qa
What was the High Court's decision regarding the deductions claimed by M/s. Saraf Exports under Section 80-IB?,"The High Court held that M/s. Saraf Exports was not entitled to the deductions under Section 80-IB for the profits from Duty Drawback and DEPB schemes, based on the judgments of the Supreme Court in Liberty India and Sterling Foods.",IndicLegalQA,case_qa
What was M/s. Saraf Exports' argument regarding the eligibility for deductions under Section 80-IB?,M/s. Saraf Exports argued that the profits from Duty Drawback and DEPB schemes should be considered as profits derived from the business of the industrial undertaking and therefore eligible for deductions under Section 80-IB.,IndicLegalQA,case_qa
What was the Supreme Court's decision on the appeal filed by M/s. Saraf Exports?,"The Supreme Court dismissed the appeal, upholding the High Court's decision that the profits from Duty Drawback and DEPB schemes are not eligible for deductions under Section 80-IB as they do not constitute profits derived from the industrial undertaking.",IndicLegalQA,case_qa
What did the Supreme Court say about the relevance of the 'first degree nexus' in the context of Section 80-IB?,"The Supreme Court reiterated that for profits to be eligible for deductions under Section 80-IB, they must have a 'first degree nexus' with the industrial undertaking. Profits from Duty Drawback and DEPB schemes were deemed to have an indirect nexus and thus not eligible.",IndicLegalQA,case_qa
How did the Supreme Court differentiate between the cases of Liberty India and Meghalaya Steels?,"The Supreme Court distinguished that while Liberty India dealt with export incentives like DEPB and Duty Drawback, which have an indirect nexus with the industrial undertaking, Meghalaya Steels involved subsidies directly reducing the cost of manufacturing, thus having a direct nexus.",IndicLegalQA,case_qa
What was the final outcome for M/s. Saraf Exports regarding the deductions under Section 80-IB?,"The final outcome was that M/s. Saraf Exports was not entitled to claim deductions under Section 80-IB for the profits earned from the Duty Drawback and DEPB schemes, as per the Supreme Court's ruling.",IndicLegalQA,case_qa
What was the main legal issue in the case Ssangyong Engineering & Construction Co. Ltd. vs. National Highways Authority of India (NHAI)?,"The main legal issue was whether the Circular dated 15th February 2013 issued by the NHAI for the application of a new formula for price adjustment, which included a 'linking factor,' could be applied to the contract between Ssangyong Engineering and NHAI.",IndicLegalQA,case_qa
What was the outcome of the arbitration between Ssangyong Engineering & Construction Co. Ltd. and NHAI?,"The arbitral tribunal, by a majority, held that the Circular could be applied as it was within the contractual stipulations, thus rejecting Ssangyong Engineering's claim. However, one member of the tribunal dissented, stating that the Circular was de hors the contract.",IndicLegalQA,case_qa
How did the High Court of Delhi rule on the Section 34 petition filed by Ssangyong Engineering & Construction Co. Ltd.?,"The High Court of Delhi dismissed the Section 34 petition, holding that the majority arbitral award was a possible view and that there was no ground for interference under the parameters of challenge to arbitral awards.",IndicLegalQA,case_qa
What was the Supreme Court's decision regarding the application of the Circular and the arbitral award?,"The Supreme Court set aside the majority arbitral award, stating that the introduction of the linking factor and the Circular were beyond the terms of the contract, thus constituting a decision on a matter beyond the scope of the submission to arbitration.",IndicLegalQA,case_qa
What principle did the Supreme Court highlight regarding the interpretation of contracts in arbitration?,"The Supreme Court highlighted that the arbitral tribunal must adhere strictly to the terms of the contract and cannot introduce new terms or apply extraneous documents, such as the Circular, which were not part of the original agreement between the parties.",IndicLegalQA,case_qa
What was the Supreme Court's view on the use of government guidelines in the arbitral award?,"The Supreme Court held that the use of government guidelines, which were not part of the contract, to determine the linking factor was inappropriate and constituted a jurisdictional error, leading to the setting aside of the arbitral award.",IndicLegalQA,case_qa
How did the Supreme Court address the issue of natural justice in the arbitration proceedings?,"The Supreme Court noted that the arbitral tribunal's reliance on government guidelines, which were not presented to the parties, violated the principles of natural justice, as Ssangyong Engineering was not given an opportunity to address these guidelines.",IndicLegalQA,case_qa
What was the primary issue in the case World College of Medical Sciences & Research and Hospital vs. Union of India & Anr.?,"The primary issue was whether the order passed by the Union of India, debarring the petitioner medical college from admitting students for two academic sessions (2017-18 and 2018-19) and authorizing the Medical Council of India (MCI) to encash the bank guarantee of Rs. 2 crore, was justified.",IndicLegalQA,case_qa
Why did the Union of India debar the petitioner medical college from admitting students?,"The Union of India debarred the petitioner medical college based on the recommendation from the MCI, which noted several deficiencies in the college during an assessment conducted on 26th-27th October 2016.",IndicLegalQA,case_qa
What were the specific deficiencies noted by the MCI in the petitioner medical college?,"The MCI noted deficiencies such as a 29.23% shortage of faculty, a 28.26% shortage of residents, 34% bed occupancy on the day of assessment, and other issues such as a lack of patients in ICUs and inadequate library facilities.",IndicLegalQA,case_qa
What was the Oversight Committee's (OC) opinion regarding the deficiencies noted by the MCI?,"The OC found that the deficiencies were within acceptable limits, noting that some staff were on leave due to the Diwali festival and others arrived late. The OC's opinion was that there were no significant deficiencies, and it confirmed the Letter of Permission (LOP) for the college.",IndicLegalQA,case_qa
How did the Supreme Court address the argument about the timing of the inspection close to the Diwali festival?,"The Supreme Court rejected the argument, noting that the inspection on 26th October 2016, which was three days before Diwali, did not violate the regulations prohibiting inspections two days before or after major festivals.",IndicLegalQA,case_qa
What did the Supreme Court decide regarding the future of the students already admitted to the petitioner medical college?,The Supreme Court allowed the students already admitted for the academic session 2016-17 to continue their studies but declined to issue directions for renewal of LOP for the academic session 2017-18. The Court directed the MCI to inspect the college for the academic session 2018-19 and submit a report.,IndicLegalQA,case_qa
What was the Supreme Court's final directive to the MCI and the petitioner college?,"The Supreme Court directed the MCI to conduct a fresh inspection within two months, inform the college of any deficiencies, and allow the college time to rectify them. The renewal application for 2017-18 was to be treated as an application for 2018-19, and the bank guarantee was not to be encashed until further orders.",IndicLegalQA,case_qa
What was the main issue in the case Avtar Singh vs. Union of India and Ors.?,The main issue was whether the termination of Avtar Singh from service in the CRPF for not disclosing his involvement in a criminal case was justified.,IndicLegalQA,case_qa
Why was Avtar Singh terminated from service in the CRPF?,Avtar Singh was terminated from service for suppressing the fact that he was involved in a criminal case when he filled out the verification form during his appointment process.,IndicLegalQA,case_qa
What were the charges in the criminal case against Avtar Singh?,"Avtar Singh was charged under Sections 323, 324 read with Section 34 of the Indian Penal Code (IPC).",IndicLegalQA,case_qa
What was the outcome of the criminal case against Avtar Singh?,"Avtar Singh was acquitted by the trial court on 2nd May 1994, but an appeal against the acquittal was pending at the time of his termination.",IndicLegalQA,case_qa
What did the Supreme Court's earlier judgment in Avtar Singh v. Union of India and Others (2016) 8 SCC 471 state about disclosure of criminal cases by employees?,"The Supreme Court's earlier judgment stated that employees must truthfully disclose any involvement in criminal cases, whether it results in conviction, acquittal, or is pending. The employer can take action based on the nature of the offense and the circumstances of the case.",IndicLegalQA,case_qa
What direction did the Supreme Court give to the Appointing Authority regarding Avtar Singh's case?,The Supreme Court directed the Appointing Authority to reconsider Avtar Singh's case in light of the principles laid down in the 2016 judgment and to pass a speaking order after considering the subsequent developments in the criminal case.,IndicLegalQA,case_qa
What is meant by a 'speaking order' as directed by the Supreme Court in Avtar Singh's case?,A 'speaking order' is a detailed order in which the Appointing Authority must provide reasons for their decision after considering all relevant factors and giving Avtar Singh an opportunity to be heard.,IndicLegalQA,case_qa
What was the main legal issue in the case Shri Ram Shridhar Chimurkar vs. Union of India & Anr.?,"The main legal issue was whether Shri Ram Shridhar Chimurkar, adopted by the widow of a deceased government servant after his death, was entitled to receive family pension under Rule 54(14)(b) of the Central Civil Services (Pension) Rules, 1972.",IndicLegalQA,case_qa
What was the decision of the Central Administrative Tribunal (CAT) regarding Shri Ram Shridhar Chimurkar's claim for family pension?,"The CAT allowed Shri Ram Shridhar Chimurkar's claim for family pension, directing the Respondents to consider his claim by treating him as the adopted son of the deceased government servant, Shridar Chimurkar.",IndicLegalQA,case_qa
Why did the High Court reverse the decision of the Central Administrative Tribunal in Shri Ram Shridhar Chimurkar's case?,"The High Court reversed the CAT's decision, stating that Rule 54(14)(b) of the CCS (Pension) Rules did not cover adoption by a widow after the death of a government servant and that the appellant could not be included in the definition of 'family' for receiving family pension.",IndicLegalQA,case_qa
